,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
214,tt1648186,fisherman's friends,2019,2579,6.9,,,7,3,112,0.3921568627450981,
215,tt4444956,once upon a time in london,2019,3395,6.6,,,5,1,,0.3921568627450981,
216,tt7303530,roads,2019,209,6.5,,,3,3,99,0.3921568627450981,
217,tt6905676,xy chelsea,2019,179,4.7,,,1,1,,0.3921568627450981,
218,tt5687270,the corrupted,2019,319,5.7,,,8,3,,0.3921568627450981,
219,tt8359816,sorry we missed you,2019,3644,7.8,,,4,1,100,0.3921568627450981,
220,tt9204204,little joe,2019,920,5.9,,0.13,8,2,105,0.3921568627450981,
221,tt5433114,diego maradona,2019,3817,7.7,,2.6,1,2,130,0.3921568627450981,
222,tt8836988,avengement,2019,6091,6.5,,,3,3,88,0.3921568627450981,
223,tt6964076,pavarotti,2019,1348,7.5,,6.5,,2,114,0.3921568627450981,
224,tt7561364,bittersweet symphony,2019,91,4.0,,,5,1,80,0.3921568627450981,
225,tt0180846,monsoon,2019,271,3.6,,,6,2,85,0.3921568627450981,
226,tt7590074,mrs lowry & son,2019,91,7.2,0.0,,2,2,91,0.3921568627450981,0.0
227,tt6624144,a good woman is hard to find,2019,503,6.1,,,4,2,,0.3921568627450981,
228,tt7715070,horrible histories: the movie – rotten romans,2019,879,5.1,,3.7,9,1,92,0.3921568627450981,
229,tt0026529,the informer,2019,5121,7.5,,1.6,5,3,113,0.3921568627450981,
230,tt5987402,three seconds,2019,3560,6.6,,1.6,5,3,113,0.3921568627450981,
231,tt1280657,end of the rainbow,2019,15,8.3,,,,3,,0.3921568627450981,
232,tt10915286,tell me who i am,2019,5428,7.7,,,2,3,86,0.3921568627450981,
233,tt10703826,citizen k,2019,157,6.0,,0.02,,1,128,0.3921568627450981,
234,tt8419594,rare beasts,2019,10,6.8,,,6,3,,0.3921568627450981,
235,tt10699362,moffie,2019,64,8.2,,,1,4,99,0.3921568627450981,
236,tt6439020,the personal history of david copperfield,2019,289,5.9,,,10,2,119,0.3921568627450981,
237,tt0167872,david copperfield,2019,3841,7.7,,,10,2,119,0.3921568627450981,
238,tt0330801,rocks,2019,1863,7.7,,,5,2,,0.3921568627450981,
239,tt7587876,hope gap,2019,72,7.4,,,3,2,100,0.3921568627450981,
240,tt8951692,military wives,2019,18,7.8,,,3,2,112,0.3921568627450981,
241,tt10121372,roger waters: us + them,2019,486,8.0,,,9,1,135,0.3921568627450981,
242,tt0015881,greed,2019,8406,8.1,,,8,3,104,0.3921568627450981,
243,tt4193072,how to build a girl,2019,48,6.9,,,5,1,102,0.3921568627450981,
244,tt6290584,my zoe,2019,54,6.8,,,4,1,,0.3921568627450981,
245,tt7557108,saint maud,2019,21,7.1,,,2,4,83,0.3921568627450981,
246,tt1657517,the song of names,2019,109,6.6,,,2,1,,0.3921568627450981,
247,tt0269267,ordinary love,2019,17,7.3,,,2,3,92,0.3921568627450981,
248,tt6017756,radioactive,2019,99,7.0,,,5,3,110,0.3921568627450981,
249,tt6193408,a shaun the sheep movie: farmageddon,2019,1618,7.1,,30.8,2,4,87,0.3921568627450981,
250,tt0983983,shaun the sheep,2019,10796,8.2,,30.8,2,3,87,0.3921568627450981,
251,tt2872750,shaun the sheep movie,2019,34131,7.3,,30.8,2,4,87,0.3921568627450981,
252,tt6563576,the queen's corgi,2019,3018,4.7,20.0,25.0,5,2,85,0.3921568627450981,7.843137254901961
253,tt8000908,robert the bruce,2019,703,5.1,,0.02,3,3,124,0.3921568627450981,
