,imdbID,budget,cast_size,gross,imdb_rating,n_votes,runtime,title,year
1051,tt3460252,54.0,10,155.8,7.8,465445,187.0,The Hateful Eight,2015
1052,tt0097742,32.0,7,156.1,6.6,88029,133.0,Licence to Kill,1989
1053,tt0479143,24.0,5,156.2,7.1,194636,100.0,Rocky Balboa,2006
1054,tt1013752,85.0,4,155.06,6.6,248188,107.0,Fast & Furious,2009
1055,tt2177771,91.0,8,155.0,6.1,119370,118.0,The Monuments Men,2014
1056,tt0443489,80.0,7,154.8,6.5,65448,130.0,Dreamgirls,2006
1057,tt0056347,70.0,8,154.6,6.4,2619,143.0,The Phantom of the Opera,1962
1058,tt0098090,70.0,8,154.6,5.5,3496,143.0,The Phantom of the Opera,1989
1059,tt0293508,70.0,8,154.6,7.3,111511,143.0,The Phantom of the Opera,2004
1060,tt0252076,55.0,5,163.8,5.2,80330,105.0,Maid in Manhattan,2002
1061,tt2140479,44.0,6,155.2,7.3,240859,128.0,The Accountant,2016
1062,tt0369735,43.0,6,155.0,5.5,53438,102.0,Monster-in-Law,2005
1063,tt1091191,40.0,5,154.8,7.5,251926,121.0,Lone Survivor,2013
1064,tt0106611,17.0,5,154.9,7.0,85968,98.0,Cool Runnings,1993
1065,tt0099044,50.0,5,153.5,5.9,36251,93.0,Another 48 Hrs.,1990
1066,tt1408253,25.0,11,154.0,6.2,96614,100.0,Ride Along,2014
1067,tt0106965,20.0,5,153.6,5.9,64379,112.0,Free Willy,1993
1068,tt0471042,85.0,8,152.9,6.2,127153,104.0,Tower Heist,2011
1069,tt0118971,57.0,6,153.0,7.5,308969,144.0,The Devil's Advocate,1997
1070,tt0087363,11.0,5,153.1,7.3,183016,106.0,Gremlins,1984
1071,tt2873282,69.0,6,151.6,6.6,146445,140.0,Red Sparrow,2018
1072,tt1279935,55.0,7,152.3,6.3,146728,88.0,Date Night,2010
1073,tt0112715,50.0,6,152.0,5.2,40091,108.0,Congo,1995
1074,tt0408236,50.0,5,152.0,7.3,328185,116.0,Sweeney Todd: The Demon Barber of Fleet Street,2007
1075,tt0145681,48.0,8,151.5,6.7,145177,118.0,The Bone Collector,1999
1076,tt0101393,40.0,7,152.4,6.7,67633,137.0,Backdraft,1991
1077,tt0117913,40.0,10,152.0,7.5,122249,149.0,A Time to Kill,1996
1078,tt0117333,32.0,5,152.0,6.4,71962,123.0,Phenomenon,1996
1079,tt0090264,30.0,5,152.4,6.4,82071,131.0,A View to a Kill,1985
1080,tt0378194,30.0,6,152.0,8.0,637428,136.0,Kill Bill: Vol. 2,2004
1081,tt6019206,30.0,6,152.0,8.8,4220,136.0,Kill Bill: The Whole Bloody Affair,2011
1082,tt0094737,18.0,4,151.7,7.3,184337,104.0,Big,1988
1083,tt2404233,140.0,7,150.7,5.4,98171,127.0,Gods of Egypt,2016
1084,tt1093357,30.0,6,150.9,4.9,55771,125.0,The Darkest Hour,2011
1085,tt4555426,30.0,6,151.0,7.4,146509,125.0,Darkest Hour,2017
1086,tt0120185,25.0,11,151.0,3.5,32060,93.0,Spice World,1997
1087,tt1023481,17.5,4,150.8,6.2,77017,98.0,Step Up 2: The Streets,2008
1088,tt1605783,17.0,7,151.1,7.7,363955,94.0,Midnight in Paris,2011
1089,tt0181852,200.0,4,150.37,6.3,359874,109.0,Terminator 3: Rise of the Machines,2003
1090,tt1402488,135.0,11,150.4,5.9,39303,100.0,Happy Feet Two,2011
1091,tt1111422,100.0,4,150.0,6.4,177001,106.0,The Taking of Pelham 123,2009
1092,tt0144214,95.0,6,149.7,6.3,50089,116.0,The General's Daughter,1999
1093,tt0115759,50.0,7,150.2,6.0,87050,108.0,Broken Arrow,1996
1094,tt1464540,50.0,6,150.0,6.1,220586,109.0,I Am Number Four,2011
1095,tt0432021,45.0,9,150.0,6.3,175983,94.0,Resident Evil: Extinction,2007
1096,tt1632708,35.0,7,150.4,6.5,323182,109.0,Friends with Benefits,2011
1097,tt0078788,31.0,8,150.0,8.4,564356,153.0,Apocalypse Now,1979
1098,tt0108185,30.0,4,150.1,6.2,18278,114.0,Sommersby,1993
1099,tt0054997,21.0,7,150.0,8.0,71708,110.0,The Hustler,1961
1100,tt0087928,4.1,4,149.8,6.7,105966,96.0,Police Academy,1984
1101,tt0448694,130.0,5,555.0,6.6,136289,90.0,Puss in Boots,2011
1102,tt0082031,120.0,9,203.6,6.9,24376,126.0,Arthur,1981
1103,tt0349683,120.0,9,203.6,6.3,153981,126.0,King Arthur,2004
1104,tt1972591,175.0,6,149.0,6.7,175530,126.0,King Arthur: Legend of the Sword,2017
1105,tt0423294,100.0,7,149.0,6.7,64578,85.0,Surf's Up,2007
1106,tt0104070,55.0,4,149.0,6.6,96344,104.0,Death Becomes Her,1992
1107,tt0183505,51.0,5,149.0,6.6,212949,116.0,"Me, Myself & Irene",2000
1108,tt1411238,25.0,4,149.0,6.2,201523,108.0,No Strings Attached(I) ,2011
1109,tt0329575,87.0,6,148.3,7.3,63941,141.0,Seabiscuit,2003
1110,tt1821694,84.0,8,148.1,6.6,151784,116.0,RED 2,2013
1111,tt0236493,57.0,3,147.8,6.1,98790,123.0,The Mexican,2001
1112,tt0227538,35.0,10,147.9,5.4,102154,88.0,Spy Kids,2001
1113,tt0432348,4.0,9,147.7,6.6,221883,93.0,Saw II,2005
1114,tt0244244,102.0,6,147.1,6.5,170945,99.0,Swordfish,2001
1115,tt1430607,100.0,6,147.0,7.1,46456,97.0,Arthur Christmas,2011
1116,tt1618442,90.0,5,146.9,6.0,88787,106.0,The Last Witch Hunter,2015
1117,tt0945513,31.9,4,147.3,7.5,460921,93.0,Source Code,2011
1118,tt0492956,22.0,5,146.6,6.1,54996,110.0,The Game Plan,2007
1119,tt0103786,18.0,5,147.0,5.6,61837,87.0,Beethoven,1992
1120,tt0445934,61.0,7,145.7,6.3,150139,93.0,Blades of Glory,2007
1121,tt0117731,45.0,10,146.0,7.6,112266,111.0,Star Trek: First Contact,1996
1122,tt0758766,40.0,6,145.9,6.5,92908,104.0,Music and Lyrics,2007
1123,tt0062622,12.0,2,146.0,8.3,559363,142.0,2001: A Space Odyssey,1968
1124,tt0097239,7.5,5,145.8,7.4,91407,100.0,Driving Miss Daisy,1989
1125,tt0070016,85.0,11,145.0,6.9,15803,96.0,Charlotte's Web,1973
1126,tt0413895,85.0,11,144.9,6.3,34502,96.0,Charlotte's Web,2006
1127,tt0232500,38.0,4,144.53,6.8,327951,106.0,The Fast and the Furious,2001
1128,tt0076538,65.0,6,143.7,6.4,20978,102.0,Pete's Dragon,1977
1129,tt0053137,50.0,5,144.1,7.2,11187,119.0,On the Beach,1959
1130,tt0163978,50.0,5,144.1,6.7,212439,119.0,The Beach(I) ,2000
1131,tt0400497,50.0,6,144.1,4.8,42950,101.0,Herbie Fully Loaded,2005
1132,tt0404032,19.3,8,144.2,6.7,113177,121.0,The Exorcism of Emily Rose,2005
1133,tt1436562,90.0,8,484.6,6.9,195400,96.0,Rio,2011
1134,tt4779682,130.0,6,530.2,5.7,127159,113.0,The Meg,2018
1135,tt0266987,115.0,5,143.0,7.1,138009,126.0,Spy Game,2001
1136,tt0119643,90.0,6,142.9,7.2,200243,181.0,Meet Joe Black,1998
1137,tt1570728,50.0,6,142.9,7.4,445279,118.0,"Crazy, Stupid, Love.",2011
1138,tt3717490,105.0,8,142.0,5.9,96094,121.0,Power Rangers,2017
1139,tt1598822,56.0,19,142.0,5.7,77709,118.0,New Year's Eve,2011
1140,tt0348836,40.0,6,141.6,5.8,102203,98.0,Gothika,2003
1141,tt0250494,18.0,6,141.8,6.2,170693,96.0,Legally Blonde,2001
1142,tt0088939,15.0,8,142.0,7.8,72982,153.0,The Color Purple,1985
1143,tt0118972,86.0,6,140.807547,6.2,55011,111.0,The Devil's Own,1997
1144,tt0257106,45.0,16,141.2,5.3,141936,82.0,Scary Movie 2,2001
1145,tt0256380,40.0,5,141.1,5.9,122453,113.0,Shallow Hal,2001
1146,tt3152624,35.0,9,141.0,6.2,124025,125.0,Trainwreck,2015
1147,tt0134067,24.0,5,140.9,5.9,17112,80.0,The Rugrats Movie,1998
1148,tt3564472,20.0,4,140.9,6.2,31097,122.0,Girls Trip,2017
1149,tt0085210,5.0,5,9.2,7.2,12993,123.0,Bad Boys,1983
1150,tt0112442,19.0,6,141.0,6.9,212953,119.0,Bad Boys,1995
1151,tt1700841,19.0,14,140.7,6.2,163948,89.0,Sausage Party,2016
1152,tt0059800,9.0,5,141.0,7.0,97598,130.0,Thunderball,1965
1153,tt0780653,150.0,4,140.0,5.8,99461,103.0,The Wolfman,2010
1154,tt1219342,80.0,12,140.1,6.9,74870,97.0,Legend of the Guardians: The Owls of Ga'Hoole,2010
1155,tt0385880,75.0,13,140.2,6.6,92689,91.0,Monster House,2006
1156,tt0118617,50.0,8,140.0,7.1,105060,94.0,Anastasia,1997
1157,tt1800741,33.0,8,140.5,6.4,51939,99.0,Step Up Revolution,2012
1158,tt0072308,14.0,11,139.7,6.9,36528,165.0,The Towering Inferno,1974
1159,tt0104389,11.7,4,140.0,6.6,35601,110.0,The Hand That Rocks the Cradle,1992
1160,tt0069704,0.777,9,140.0,7.4,76525,112.0,American Graffiti,1973
1161,tt0073629,20.0,11,139.88,7.4,124828,88.0,The Rocky Horror Picture Show,1975
1162,tt0079945,46.0,10,139.0,6.4,76564,132.0,Star Trek: The Motion Picture,1979
1163,tt0099141,20.0,4,138.697012,6.0,37539,110.0,Bird on a Wire,1990
1164,tt0890870,10.0,5,139.4,5.9,133678,92.0,Saw IV,2007
1165,tt0104231,60.0,2,137.8,6.6,55887,140.0,Far and Away,1992
1166,tt0265029,46.0,8,160.6,5.7,52957,103.0,America's Sweethearts,2001
1167,tt0398808,25.0,5,138.0,7.1,134655,95.0,Bridge to Terabithia,2007
1168,tt1924435,17.0,6,138.2,6.4,123250,104.0,Let's Be Cops,2014
1169,tt0091763,6.0,3,138.5,8.1,359332,120.0,Platoon,1986
1170,tt0072201,88.0,9,137.0,6.6,761,128.0,Stardust,1974
1171,tt0486655,88.0,9,137.0,7.6,242448,128.0,Stardust,2007
1172,tt0107362,85.0,11,137.3,6.4,128723,131.0,Last Action Hero,1993
1173,tt0118883,80.0,3,137.0,6.7,89157,135.0,Conspiracy Theory,1997
1174,tt0099674,54.0,9,136.8,7.6,333526,162.0,The Godfather: Part III,1990
1175,tt1211956,74.0,4,154.0,6.7,216441,115.0,Escape Plan,2013
1176,tt0210945,30.0,6,136.7,7.8,187645,113.0,Remember the Titans,2000
1177,tt0099674,54.0,9,136.8,7.6,332956,162.0,the godfather part iii,1990
1178,tt0120685,130.0,10,136.31,5.4,175067,139.0,Godzilla(I) ,1998
1179,tt0120738,80.0,8,136.2,5.2,67204,130.0,Lost in Space,1998
