,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
1377,tt0098084,pet sematary,1989,88234,6.6,21.0,112.4,3,101
1378,tt2975578,the purge: anarchy,2014,129161,6.4,11.0,111.9,5,103
1379,tt0059113,doctor zhivago,1965,65802,8.0,11.0,111.7,9,193
1380,tt0325710,the last samurai,2003,377585,7.7,140.0,456.8,8,154
1381,tt0183523,mission to mars,2000,67669,5.7,100.0,111.0,6,114
1383,tt0377818,the dukes of hazzard,2005,73355,5.1,50.0,111.1,7,104
1384,tt0113957,the net,1995,57373,5.9,22.0,110.6,3,115
1385,tt1190634,the boys,1962,110121,8.8,20.0,110.9,6,89
1386,tt0098273,sea of love,1989,35450,6.8,19.0,110.9,3,113
1387,tt0093936,the secret of my success,1987,27543,6.5,18.0,111.0,4,111
1388,tt0452681,the santa clause 3: the escape clause,2006,29909,4.7,12.0,110.8,10,92
1389,tt0101902,for the boys,1991,4851,6.3,20.0,110.9,6,89
1390,tt3079380,spy,2015,217992,7.0,65.0,235.7,7,120
1391,tt0391198,the grudge,2004,133786,5.9,10.0,187.2,5,92
1392,tt0133240,treasure planet,2002,93780,7.2,140.0,109.6,8,95
1394,tt2304933,the 5th wave,2016,93136,5.2,54.0,109.9,9,112
1395,tt1210166,moneyball,2011,335577,7.6,50.0,110.2,12,133
1396,tt0482571,the prestige,2006,1096561,8.5,40.0,109.7,7,130
1397,tt0096446,willow,1988,95104,7.3,35.0,110.0,5,126
1398,tt0375063,sideways,2004,171355,7.5,16.0,109.7,4,127
1399,tt1179933,10 cloverfield lane,2016,269363,7.2,15.0,110.2,3,104
1400,tt0119174,the game,1997,321904,7.8,70.0,109.4,7,128
1401,tt0274558,the hours,2002,118714,7.5,25.0,108.8,11,114
1402,tt0280030,peter pan 2: return to never land,2002,17088,5.8,20.0,109.0,4,72
1403,tt0352248,cinderella man,2005,168678,8.0,88.0,108.5,7,144
1404,tt0112346,the american president,1995,49130,6.8,62.0,107.9,6,113
1405,tt0110216,junior,1994,62125,4.6,60.0,108.4,5,109
1406,tt2170439,horrible bosses 2,2014,147810,6.3,57.0,107.7,7,108
1407,tt1093908,confessions of a shopaholic,2009,71871,5.9,55.0,108.3,8,104
1408,tt0120188,three kings,1999,154632,7.1,48.0,107.7,9,114
1409,tt4438848,neighbors 2: sorority rising,2016,106540,5.7,35.0,108.0,6,93
1410,tt0091777,police academy 3: back in training,1986,39737,5.4,12.0,107.6,10,83
1411,tt0086425,terms of endearment,1983,50550,7.4,8.0,108.4,5,132
1412,tt1535109,captain phillips,2013,395981,7.8,55.0,218.8,2,134
1413,tt1638355,the man from u.n.c.l.e.,2015,247317,7.3,84.0,107.0,6,116
1414,tt0110638,nell,1994,26101,6.5,24.5,106.7,4,108
1415,tt0109040,ace ventura: pet detective,1994,261300,6.9,15.0,107.2,5,86
1416,tt0113189,goldeneye,1995,226787,7.2,60.0,355.0,5,130
1417,tt0317740,the italian job,2003,327750,7.0,60.0,176.1,8,110
1418,tt1213641,first man,2018,140778,7.3,70.0,105.7,8,141
1419,tt1075417,race to witch mountain,2009,52386,5.7,50.0,106.4,7,98
